filename,phrase,meaningful_tokens,word_count,meaningful_token_count
10_jpg.rf.7ce49625f77f0a22c5501d402deb1657.jpg,Fireworks exploding in the night sky.,fireworks exploding night sky,6,4
10_jpg.rf.ec85c5670e977855e01431810234b1cc.jpg,Fireworks exploding in the night sky.,fireworks exploding night sky,6,4
11_jpg.rf.0ef3c3e541f5b4a91d25b81aa34fb236.jpg,Fireworks explosion over water at night.,fireworks explosion water night,6,4
11_jpg.rf.f120e9890e76811c1851310fdba31a49.jpg,Fireworks explosion over water at night.,fireworks explosion water night,6,4
12_jpg.rf.3aaee3827a323f705797adf9196b9fad.jpg,Firework explosion in the night sky.,firework explosion night sky,6,4
12_jpg.rf.c2ab856fc08b00af91d08855a8d57b65.jpg,Firework explosion in the night sky.,firework explosion night sky,6,4
13_jpg.rf.42eddab2f67124aff931ae0001cfc17d.jpg,Fireworks explosion in the night sky.,fireworks explosion night sky,6,4
13_jpg.rf.c22c9ce37ece25f9ff370f83bfe6f354.jpg,Fireworks explosion in the night sky.,fireworks explosion night sky,6,4
14_jpg.rf.46c9c0bed8408930a42ce2cc7a92c9bf.jpg,Fireworks explosion over cityscape at night.,fireworks explosion cityscape night,6,4
14_jpg.rf.77894eca6e3de6a071c7db72abfac331.jpg,Fireworks explosion over cityscape at night.,fireworks explosion cityscape night,6,4
15_jpg.rf.00fa7107398d5f7add12a6a1246f9fd6.jpg,Fireworks exploding in the night sky.,fireworks exploding night sky,6,4
15_jpg.rf.8ddb2916461e379ab9efab9257d7a008.jpg,Fireworks exploding in the night sky.,fireworks exploding night sky,6,4
16_jpg.rf.6b58d79163d909893101f4c6517e3c38.jpg,Fireworks exploding over a waterfront at night.,fireworks exploding waterfront night,7,4
16_jpg.rf.d24be90657d773be0e7b48e5dba2f3f8.jpg,Fireworks exploding over a waterfront at night.,fireworks exploding waterfront night,7,4
17_jpg.rf.1b4cf2b93584fab9d22c2bc35859d13d.jpg,Firework explosion in the night sky.,firework explosion night sky,6,4
17_jpg.rf.fb118ccfed96dd52753fb0112d1345b6.jpg,Firework explosion in the night sky.,firework explosion night sky,6,4
18_jpg.rf.82ca6ce6ff73f1748ac43551ce49a67a.jpg,Fireworks explosion in the night sky.,fireworks explosion night sky,6,4
18_jpg.rf.d189862e2437489da8d7680820e18f37.jpg,Fireworks explosion in the night sky.,fireworks explosion night sky,6,4
19_jpg.rf.68d64b39bf9d15a146d01bfb1f94de9e.jpg,Firework explosion in the dark sky.,firework explosion dark sky,6,4
19_jpg.rf.cf686b3c30b9f9ec7770b976b2fe14b6.jpg,Firework explosion in the dark sky.,firework explosion dark sky,6,4
1_jpg.rf.1fa7dbbddc119069a70c1abf11b7879b.jpg,Firework explosion in the night sky.,firework explosion night sky,6,4
1_jpg.rf.5ba65a64e759de25d1f0c6c1566e92e0.jpg,Firework explosion in the night sky.,firework explosion night sky,6,4
20_jpg.rf.29a62c59d67afa3b5c96602dc7cd6320.jpg,Fireworks explosion in the night sky.,fireworks explosion night sky,6,4
20_jpg.rf.4145bcda803fe53eb904d4a1870d82ea.jpg,Fireworks explosion in the night sky.,fireworks explosion night sky,6,4
21_jpg.rf.69a0176a808b697e366657df7985c3f6.jpg,Fireworks exploding in the night sky.,fireworks exploding night sky,6,4
21_jpg.rf.fc121e3ee9c21f4dc961f1d5b9e3fdaf.jpg,Fireworks exploding in the night sky.,fireworks exploding night sky,6,4
22_jpg.rf.08a90f9c3355aa52434dcdc5432b2577.jpg,Firework explosion in the sky.,firework explosion sky,5,3
22_jpg.rf.586b63c1a385b73043bb20d748e6b5bb.jpg,Firework explosion in the sky.,firework explosion sky,5,3
23_jpg.rf.db58c9ab4cc3b757549b7dfd85667b08.jpg,Firework explosion in the night sky.,firework explosion night sky,6,4
23_jpg.rf.f3aa499014b8fd577dc8c7d8c87efc10.jpg,Firework explosion in the night sky.,firework explosion night sky,6,4
24_jpg.rf.a3c6f2aa044a832f3feb562962e1657c.jpg,Fireworks explosion in the night sky.,fireworks explosion night sky,6,4
24_jpg.rf.d03e567cb4cf2daa6ee660028e8f2e47.jpg,Fireworks explosion in the night sky.,fireworks explosion night sky,6,4
25_jpg.rf.581f5fdce700aff3621f5fb0def44c77.jpg,Fireworks explosion in the night sky.,fireworks explosion night sky,6,4
25_jpg.rf.740daabc14427d11502cdfaee26877ec.jpg,Fireworks explosion in the night sky.,fireworks explosion night sky,6,4
26_jpg.rf.0c2f1eb9ad4a41b92dbfb9602cdc0a28.jpg,Fireworks exploding in the dark sky.,fireworks exploding dark sky,6,4
26_jpg.rf.f0142b4a1a6c7c757934e09bf67e7a31.jpg,Fireworks exploding in the dark sky.,fireworks exploding dark sky,6,4
27_jpg.rf.38dddda665a201079395aa63c0b9dc8f.jpg,Fireworks display in the night sky over a stadium.,fireworks display night sky stadium,9,5
27_jpg.rf.ad9f87034424d13c709145e4d6424a3b.jpg,Fireworks display in the night sky over a stadium.,fireworks display night sky stadium,9,5
28_jpg.rf.5dabf1fcb7219ecf259c9b3af35d59dc.jpg,Firework explosion over water at night.,firework explosion water night,6,4
